unknown_device,open_port_count,critical_cve_count,patch_status,os_version,sensitive_network_access,risk
Yes,8,5,Outdated,Windows7,Yes,Critical
Yes,7,4,Outdated,Windows10,Yes,Critical
Yes,6,3,Outdated,Windows10,No,High
Yes,5,2,Updated,Windows10,No,High
Yes,4,1,Updated,Ubuntu20,No,Medium
Yes,3,1,Updated,Ubuntu22,No,Medium
No,2,0,Updated,Windows11,No,Low
No,3,0,Updated,Ubuntu22,No,Low
No,1,0,Updated,Linux,No,Low
No,4,0,Updated,Windows11,Yes,Medium
Yes,9,6,Outdated,Windows7,Yes,Critical
Yes,10,5,Outdated,Windows8,Yes,Critical
Yes,7,3,Outdated,Ubuntu18,Yes,High
Yes,5,2,Updated,Ubuntu20,Yes,High
Yes,4,1,Updated,Windows11,No,Medium
No,3,1,Updated,Windows11,No,Low
No,2,0,Updated,Ubuntu22,No,Low
No,5,0,Updated,Windows11,Yes,Medium
Yes,6,4,Outdated,Windows10,Yes,Critical
No,1,0,Updated,Linux,No,Low
