unknown_device,open_port_count,critical_cve_count,patch_status,os_outdated,sensitive_network_access,risk
Yes,14,1,Outdated,0,Yes,High
Yes,16,3,Updated,0,Yes,High
Yes,17,1,Updated,1,Yes,High
No,7,6,Outdated,1,Yes,High
No,8,2,Updated,0,Yes,Medium
Yes,5,1,Updated,0,Yes,High
Yes,11,4,Outdated,1,Yes,High
No,8,5,Outdated,0,Yes,High
Yes,23,9,Outdated,1,Yes,Critical
No,0,0,Updated,1,No,Low
No,16,9,Outdated,1,Yes,Critical
No,7,1,Outdated,0,No,Low
Yes,14,3,Outdated,1,Yes,High
No,29,10,Outdated,1,Yes,Critical
Yes,21,3,Outdated,1,No,Critical
Yes,13,3,Outdated,1,Yes,Critical
No,3,1,Outdated,1,Yes,Medium
Yes,14,10,Outdated,1,Yes,Critical
Yes,10,3,Outdated,1,Yes,Critical
Yes,9,1,Outdated,0,Yes,Medium
No,20,3,Outdated,1,No,High
No,2,1,Outdated,0,Yes,Low
Yes,3,3,Updated,0,Yes,Medium
Yes,9,2,Outdated,1,Yes,High
No,0,0,Outdated,1,No,Low
Yes,6,2,Updated,1,No,Low
Yes,2,2,Updated,0,No,Low
Yes,28,5,Outdated,1,No,Critical
Yes,24,3,Outdated,1,Yes,Critical
Yes,24,5,Outdated,1,No,Critical
No,10,2,Outdated,1,Yes,Medium
Yes,6,1,Updated,0,No,Low
Yes,7,4,Updated,0,Yes,High
No,2,1,Updated,1,No,Medium
Yes,4,0,Updated,0,Yes,Medium
Yes,6,2,Outdated,0,No,Low
Yes,4,4,Updated,1,No,High
Yes,20,4,Outdated,1,No,High
Yes,14,3,Outdated,1,No,Critical
No,8,2,Updated,0,Yes,Low
Yes,10,0,Updated,1,No,Medium
No,6,0,Updated,0,Yes,Low
No,10,0,Updated,0,Yes,Medium
Yes,28,3,Outdated,1,Yes,Critical
Yes,3,3,Updated,0,No,Medium
Yes,8,0,Updated,0,No,Medium
Yes,12,6,Outdated,1,Yes,Critical
Yes,10,2,Updated,0,Yes,High
No,7,1,Updated,0,Yes,Medium
Yes,25,9,Outdated,1,Yes,Critical
Yes,6,6,Updated,1,Yes,High
Yes,29,10,Outdated,1,No,Critical
No,11,4,Updated,1,No,Medium
Yes,4,2,Outdated,0,Yes,High
No,3,2,Updated,0,No,Low
No,8,0,Updated,0,Yes,Low
No,4,5,Updated,1,Yes,High
Yes,8,0,Updated,0,No,Low
No,7,2,Outdated,1,No,Low
Yes,20,9,Outdated,1,Yes,Critical
Yes,5,1,Updated,0,No,Medium
Yes,8,1,Updated,0,No,Low
Yes,19,2,Updated,1,Yes,High
No,3,0,Outdated,0,No,Low
Yes,19,1,Updated,1,Yes,High
No,4,2,Outdated,1,Yes,High
Yes,15,6,Outdated,1,No,High
Yes,16,3,Outdated,1,No,Critical
Yes,7,1,Updated,0,No,Low
Yes,18,6,Updated,0,No,High
No,1,0,Outdated,0,No,Low
No,2,4,Outdated,0,Yes,Medium
Yes,20,2,Outdated,0,Yes,High
Yes,14,2,Outdated,0,Yes,High
No,7,1,Outdated,0,No,Medium
No,4,0,Outdated,0,No,Medium
Yes,11,5,Updated,0,Yes,High
Yes,4,1,Updated,0,Yes,Low
Yes,6,5,Outdated,1,Yes,High
No,4,0,Updated,0,Yes,Medium
Yes,18,5,Outdated,1,No,High
No,0,1,Outdated,0,No,Low
Yes,2,4,Updated,1,Yes,Medium
No,5,2,Updated,1,No,Low
Yes,3,4,Outdated,0,No,Medium
Yes,13,3,Updated,0,Yes,High
Yes,14,4,Outdated,1,Yes,Critical
Yes,9,5,Updated,0,No,High
Yes,12,3,Outdated,1,Yes,Critical
No,3,1,Updated,0,Yes,Medium
Yes,3,3,Updated,1,No,Medium
No,7,3,Updated,0,Yes,Medium
Yes,15,2,Updated,1,No,High
No,1,2,Outdated,0,Yes,Low
Yes,20,10,Outdated,1,Yes,Critical
No,12,0,Updated,1,No,Medium
Yes,22,4,Outdated,1,Yes,Critical
No,2,1,Updated,0,Yes,Low
No,6,0,Updated,0,No,Low
Yes,24,7,Outdated,1,Yes,Critical
Yes,5,4,Outdated,0,Yes,High
No,7,0,Updated,1,No,Medium
Yes,21,5,Outdated,1,No,Critical
No,2,2,Updated,1,Yes,Medium
Yes,18,6,Outdated,0,Yes,High
Yes,6,6,Outdated,1,Yes,High
Yes,6,2,Updated,1,Yes,High
No,8,5,Outdated,1,Yes,Critical
Yes,0,0,Outdated,0,Yes,Low
Yes,22,8,Outdated,1,No,Critical
Yes,14,1,Outdated,1,Yes,High
Yes,10,8,Outdated,1,Yes,Critical
Yes,18,8,Outdated,1,No,Critical
Yes,8,8,Outdated,1,Yes,Critical
Yes,5,2,Updated,0,No,Low
No,7,3,Updated,0,No,Medium
No,6,0,Outdated,1,No,Low
Yes,14,4,Outdated,1,No,Critical
Yes,10,3,Updated,1,Yes,High
Yes,2,0,Updated,0,No,Medium
Yes,16,10,Outdated,1,Yes,Critical
Yes,4,0,Updated,0,No,Medium
No,13,5,Outdated,1,Yes,High
Yes,6,1,Outdated,0,No,Medium
Yes,2,2,Updated,0,Yes,Low
No,9,1,Outdated,1,Yes,High
No,4,5,Updated,1,No,High
No,5,0,Updated,0,Yes,Medium
Yes,26,10,Outdated,1,No,Critical
Yes,25,5,Outdated,1,Yes,Critical
No,8,2,Outdated,1,Yes,High
No,27,5,Outdated,1,Yes,Critical
No,7,0,Updated,1,Yes,Medium
Yes,14,8,Outdated,1,Yes,Critical
Yes,6,4,Updated,1,Yes,High
Yes,4,1,Updated,0,No,Low
No,0,0,Outdated,0,Yes,Low
